framework,impl,n,run,kernel_ms,checksum
GPU,gpu_tiled_matmul,500,1,2.546,3.125797e+07
GPU,gpu_tiled_matmul,500,2,1.657,3.125797e+07
GPU,gpu_tiled_matmul,500,3,1.643,3.125797e+07
GPU,gpu_tiled_matmul,500,4,1.428,3.125797e+07
GPU,gpu_tiled_matmul,500,5,1.719,3.125797e+07
GPU,gpu_tiled_matmul,1000,1,10.525,2.502135e+08
GPU,gpu_tiled_matmul,1000,2,5.827,2.502135e+08
GPU,gpu_tiled_matmul,1000,3,6.202,2.502135e+08
GPU,gpu_tiled_matmul,1000,4,5.999,2.502135e+08
GPU,gpu_tiled_matmul,1000,5,5.591,2.502135e+08
GPU,gpu_tiled_matmul,2000,1,37.751,2.001026e+09
GPU,gpu_tiled_matmul,2000,2,38.650,2.001026e+09
GPU,gpu_tiled_matmul,2000,3,38.117,2.001026e+09
GPU,gpu_tiled_matmul,2000,4,37.762,2.001026e+09
GPU,gpu_tiled_matmul,2000,5,39.796,2.001026e+09
GPU,gpu_tiled_matmul,3000,1,123.934,6.750179e+09
GPU,gpu_tiled_matmul,3000,2,100.655,6.750179e+09
GPU,gpu_tiled_matmul,3000,3,99.292,6.750179e+09
GPU,gpu_tiled_matmul,3000,4,99.539,6.750179e+09
GPU,gpu_tiled_matmul,3000,5,99.246,6.750179e+09
GPU,gpu_tiled_matmul,4000,1,229.282,1.599902e+10
GPU,gpu_tiled_matmul,4000,2,228.929,1.599902e+10
GPU,gpu_tiled_matmul,4000,3,229.548,1.599902e+10
GPU,gpu_tiled_matmul,4000,4,229.353,1.599902e+10
GPU,gpu_tiled_matmul,4000,5,229.302,1.599902e+10
