framework,operation,n,threads,processes,run,time_s,checksum
MPI,matrix,500,1,1,1,0.117344,3.06281e+07
MPI,matrix,500,1,1,2,0.116935,3.06281e+07
MPI,matrix,500,1,1,3,0.129728,3.06281e+07
MPI,matrix,500,1,1,4,0.121567,3.06281e+07
MPI,matrix,500,1,1,5,0.12255,3.06281e+07
MPI,matrix,500,1,2,1,0.107974,3.06281e+07
MPI,matrix,500,1,2,2,0.0694218,3.06281e+07
MPI,matrix,500,1,2,3,0.0667894,3.06281e+07
MPI,matrix,500,1,2,4,0.0970232,3.06281e+07
MPI,matrix,500,1,2,5,0.0626281,3.06281e+07
MPI,matrix,500,1,4,1,0.0341045,3.06281e+07
MPI,matrix,500,1,4,2,0.0463834,3.06281e+07
MPI,matrix,500,1,4,3,0.0412504,3.06281e+07
MPI,matrix,500,1,4,4,0.0348929,3.06281e+07
MPI,matrix,500,1,4,5,0.0375707,3.06281e+07
MPI,matrix,500,1,6,1,0.0396427,3.06281e+07
MPI,matrix,500,1,6,2,0.0395284,3.06281e+07
MPI,matrix,500,1,6,3,0.0395062,3.06281e+07
MPI,matrix,500,1,6,4,0.0405334,3.06281e+07
MPI,matrix,500,1,6,5,0.0466229,3.06281e+07
MPI,matrix,1000,1,1,1,1.42049,2.45025e+08
MPI,matrix,1000,1,1,2,1.35208,2.45025e+08
MPI,matrix,1000,1,1,3,1.48496,2.45025e+08
MPI,matrix,1000,1,1,4,1.26538,2.45025e+08
MPI,matrix,1000,1,1,5,1.40654,2.45025e+08
MPI,matrix,1000,1,2,1,0.890938,2.45025e+08
MPI,matrix,1000,1,2,2,1.25551,2.45025e+08
MPI,matrix,1000,1,2,3,0.958568,2.45025e+08
MPI,matrix,1000,1,2,4,1.23533,2.45025e+08
MPI,matrix,1000,1,2,5,1.02542,2.45025e+08
MPI,matrix,1000,1,4,1,0.803994,2.45025e+08
MPI,matrix,1000,1,4,2,1.21821,2.45025e+08
MPI,matrix,1000,1,4,3,1.08564,2.45025e+08
MPI,matrix,1000,1,4,4,1.01278,2.45025e+08
MPI,matrix,1000,1,4,5,1.11481,2.45025e+08
MPI,matrix,1000,1,6,1,1.00603,2.45025e+08
MPI,matrix,1000,1,6,2,1.00915,2.45025e+08
MPI,matrix,1000,1,6,3,1.15549,2.45025e+08
MPI,matrix,1000,1,6,4,1.0987,2.45025e+08
MPI,matrix,1000,1,6,5,0.947809,2.45025e+08
MPI,matrix,2000,1,1,1,26.9635,1.9602e+09
MPI,matrix,2000,1,1,2,27.3626,1.9602e+09
MPI,matrix,2000,1,1,3,28.2923,1.9602e+09
MPI,matrix,2000,1,1,4,30.4749,1.9602e+09
MPI,matrix,2000,1,1,5,31.2673,1.9602e+09
MPI,matrix,2000,1,2,1,18.2668,1.9602e+09
MPI,matrix,2000,1,2,2,17.1763,1.9602e+09
MPI,matrix,2000,1,2,3,20.1767,1.9602e+09
MPI,matrix,2000,1,2,4,18.7907,1.9602e+09
MPI,matrix,2000,1,2,5,21.2918,1.9602e+09
MPI,matrix,2000,1,4,1,13.9792,1.9602e+09
MPI,matrix,2000,1,4,2,15.4318,1.9602e+09
MPI,matrix,2000,1,4,3,12.5913,1.9602e+09
