framework,operation,n,threads,processes,run,time_s,checksum
sequential,matrix,500,1,1,1,0.117952,3.13075e+07
sequential,matrix,500,1,1,2,0.117726,3.13075e+07
sequential,matrix,500,1,1,3,0.117953,3.13075e+07
sequential,matrix,500,1,1,4,0.119147,3.13075e+07
sequential,matrix,500,1,1,5,0.116282,3.13075e+07
sequential,matrix,1000,1,1,1,1.38885,2.50182e+08
sequential,matrix,1000,1,1,2,1.4092,2.50182e+08
sequential,matrix,1000,1,1,3,1.37101,2.50182e+08
sequential,matrix,1000,1,1,4,1.18222,2.50182e+08
sequential,matrix,1000,1,1,5,1.23863,2.50182e+08
sequential,matrix,2000,1,1,1,31.2774,2.00085e+09
sequential,matrix,2000,1,1,2,30.803,2.00085e+09
sequential,matrix,2000,1,1,3,33.9733,2.00085e+09
sequential,matrix,2000,1,1,4,33.6524,2.00085e+09
sequential,matrix,2000,1,1,5,32.3724,2.00085e+09
sequential,matrix,3000,1,1,1,178.586,6.75195e+09
sequential,matrix,3000,1,1,2,178.817,6.75195e+09
sequential,matrix,3000,1,1,3,174.265,6.75195e+09
sequential,matrix,3000,1,1,4,174.842,6.75195e+09
sequential,matrix,3000,1,1,5,174.988,6.75195e+09
sequential,matrix,4000,1,1,1,773.711,1.6004e+10
sequential,matrix,4000,1,1,2,501.326,1.6004e+10
sequential,matrix,4000,1,1,3,505.815,1.6004e+10
sequential,matrix,4000,1,1,4,504.823,1.6004e+10
sequential,matrix,4000,1,1,5,590.002,1.6004e+10
OpenMP,matrix,500,1,1,1,0.0318365,3.13075e+07
OpenMP,matrix,500,1,1,2,0.0306637,3.13075e+07
OpenMP,matrix,500,1,1,3,0.0309982,3.13075e+07
OpenMP,matrix,500,1,1,4,0.0319665,3.13075e+07
OpenMP,matrix,500,1,1,5,0.0301695,3.13075e+07
OpenMP,matrix,500,2,1,1,0.0308685,3.13075e+07
OpenMP,matrix,500,2,1,2,0.0303805,3.13075e+07
OpenMP,matrix,500,2,1,3,0.0309836,3.13075e+07
OpenMP,matrix,500,2,1,4,0.0333328,3.13075e+07
OpenMP,matrix,500,2,1,5,0.0314658,3.13075e+07
OpenMP,matrix,500,4,1,1,0.0298314,3.13075e+07
OpenMP,matrix,500,4,1,2,0.0315419,3.13075e+07
OpenMP,matrix,500,4,1,3,0.0309237,3.13075e+07
OpenMP,matrix,500,4,1,4,0.0311206,3.13075e+07
