framework,operation,n,threads,processes,run,time_s,checksum
sequential,matrix,500,1,1,1,0.113165,3.13075e+07
sequential,matrix,1000,1,1,1,1.25223,2.50182e+08
sequential,matrix,2000,1,1,1,27.4371,2.00085e+09
OpenMP,matrix,500,1,1,1,1,0.128898,3.13075e+07
OpenMP,matrix,500,2,1,1,1,0.0626799,3.13075e+07
OpenMP,matrix,500,4,1,1,1,0.0307691,3.13075e+07
OpenMP,matrix,500,6,1,1,1,0.0227958,3.13075e+07
OpenMP,matrix,500,12,1,1,1,0.0370708,3.13075e+07
OpenMP,matrix,1000,1,1,1,1,1.21617,2.50182e+08
OpenMP,matrix,1000,2,1,1,1,0.588964,2.50182e+08
OpenMP,matrix,1000,4,1,1,1,0.390857,2.50182e+08
OpenMP,matrix,1000,6,1,1,1,0.31879,2.50182e+08
OpenMP,matrix,1000,12,1,1,1,0.412107,2.50182e+08
OpenMP,matrix,2000,1,1,1,1,27.8494,2.00085e+09
OpenMP,matrix,2000,2,1,1,1,14.7376,2.00085e+09
OpenMP,matrix,2000,4,1,1,1,10.3136,2.00085e+09
OpenMP,matrix,2000,6,1,1,1,8.28481,2.00085e+09
OpenMP,matrix,2000,12,1,1,1,8.81827,2.00085e+09
