framework,operation,n,threads,processes,run,time_s,checksum
sequential,matrix,500,1,1,1,0.110088,3.13075e+07
sequential,matrix,500,1,1,2,0.134846,3.13075e+07
sequential,matrix,500,1,1,3,0.132328,3.13075e+07
sequential,matrix,500,1,1,4,0.109302,3.13075e+07
sequential,matrix,500,1,1,5,0.120309,3.13075e+07
OpenMP,matrix,500,1,1,1,0.110958,3.13075e+07
OpenMP,matrix,500,1,1,2,0.114984,3.13075e+07
OpenMP,matrix,500,1,1,3,0.114308,3.13075e+07
OpenMP,matrix,500,1,1,4,0.11655,3.13075e+07
OpenMP,matrix,500,1,1,5,0.117941,3.13075e+07
OpenMP,matrix,500,2,1,1,0.0666043,3.13075e+07
OpenMP,matrix,500,2,1,2,0.056496,3.13075e+07
OpenMP,matrix,500,2,1,3,0.0538296,3.13075e+07
OpenMP,matrix,500,2,1,4,0.0575616,3.13075e+07
OpenMP,matrix,500,2,1,5,0.0550805,3.13075e+07
OpenMP,matrix,500,4,1,1,0.0331631,3.13075e+07
OpenMP,matrix,500,4,1,2,0.0291183,3.13075e+07
OpenMP,matrix,500,4,1,3,0.0282432,3.13075e+07
OpenMP,matrix,500,4,1,4,0.0288093,3.13075e+07
OpenMP,matrix,500,4,1,5,0.0289778,3.13075e+07
OpenMP,matrix,500,6,1,1,0.0206327,3.13075e+07
OpenMP,matrix,500,6,1,2,0.0196087,3.13075e+07
OpenMP,matrix,500,6,1,3,0.0210615,3.13075e+07
OpenMP,matrix,500,6,1,4,0.0197054,3.13075e+07
OpenMP,matrix,500,6,1,5,0.0210442,3.13075e+07
OpenMP,matrix,500,12,1,1,0.012117,3.13075e+07
OpenMP,matrix,500,12,1,2,0.0113391,3.13075e+07
OpenMP,matrix,500,12,1,3,0.0125959,3.13075e+07
OpenMP,matrix,500,12,1,4,0.0134454,3.13075e+07
OpenMP,matrix,500,12,1,5,0.0117069,3.13075e+07
sequential,matrix,1000,1,1,1,1.27512,2.50182e+08
sequential,matrix,1000,1,1,2,1.15358,2.50182e+08
sequential,matrix,1000,1,1,3,1.24601,2.50182e+08
sequential,matrix,1000,1,1,4,1.21846,2.50182e+08
sequential,matrix,1000,1,1,5,1.26839,2.50182e+08
OpenMP,matrix,1000,1,1,1,1.1794,2.50182e+08
OpenMP,matrix,1000,1,1,2,1.10889,2.50182e+08
OpenMP,matrix,1000,1,1,3,1.42851,2.50182e+08
OpenMP,matrix,1000,1,1,4,1.38883,2.50182e+08
OpenMP,matrix,1000,1,1,5,1.29199,2.50182e+08
OpenMP,matrix,1000,2,1,1,0.65139,2.50182e+08
OpenMP,matrix,1000,2,1,2,0.743553,2.50182e+08
OpenMP,matrix,1000,2,1,3,0.667056,2.50182e+08
OpenMP,matrix,1000,2,1,4,0.759507,2.50182e+08
OpenMP,matrix,1000,2,1,5,0.70772,2.50182e+08
OpenMP,matrix,1000,4,1,1,0.510057,2.50182e+08
OpenMP,matrix,1000,4,1,2,0.316904,2.50182e+08
OpenMP,matrix,1000,4,1,3,0.312775,2.50182e+08
OpenMP,matrix,1000,4,1,4,0.403724,2.50182e+08
OpenMP,matrix,1000,4,1,5,0.536042,2.50182e+08
OpenMP,matrix,1000,6,1,1,0.359717,2.50182e+08
OpenMP,matrix,1000,6,1,2,0.446687,2.50182e+08
OpenMP,matrix,1000,6,1,3,0.296358,2.50182e+08
OpenMP,matrix,1000,6,1,4,0.420927,2.50182e+08
OpenMP,matrix,1000,6,1,5,0.385622,2.50182e+08
OpenMP,matrix,1000,12,1,1,0.428256,2.50182e+08
OpenMP,matrix,1000,12,1,2,0.462804,2.50182e+08
OpenMP,matrix,1000,12,1,3,0.43464,2.50182e+08
OpenMP,matrix,1000,12,1,4,0.441378,2.50182e+08
OpenMP,matrix,1000,12,1,5,0.477504,2.50182e+08
sequential,matrix,2000,1,1,1,30.786,2.00085e+09
sequential,matrix,2000,1,1,2,26.3271,2.00085e+09
sequential,matrix,2000,1,1,3,29.0365,2.00085e+09
sequential,matrix,2000,1,1,4,28.0019,2.00085e+09
sequential,matrix,2000,1,1,5,28.0889,2.00085e+09
OpenMP,matrix,2000,1,1,1,28.0999,2.00085e+09
OpenMP,matrix,2000,1,1,2,27.0172,2.00085e+09
OpenMP,matrix,2000,1,1,3,29.4851,2.00085e+09
OpenMP,matrix,2000,1,1,4,29.1721,2.00085e+09
OpenMP,matrix,2000,1,1,5,29.2126,2.00085e+09
OpenMP,matrix,2000,2,1,1,14.6839,2.00085e+09
OpenMP,matrix,2000,2,1,2,19.4605,2.00085e+09
OpenMP,matrix,2000,2,1,3,14.5443,2.00085e+09
OpenMP,matrix,2000,2,1,4,16.2491,2.00085e+09
OpenMP,matrix,2000,2,1,5,16.3777,2.00085e+09
OpenMP,matrix,2000,4,1,1,10.3734,2.00085e+09
OpenMP,matrix,2000,4,1,2,10.4586,2.00085e+09
OpenMP,matrix,2000,4,1,3,10.6611,2.00085e+09
OpenMP,matrix,2000,4,1,4,10.9321,2.00085e+09
OpenMP,matrix,2000,4,1,5,9.22032,2.00085e+09
OpenMP,matrix,2000,6,1,1,8.50219,2.00085e+09
OpenMP,matrix,2000,6,1,2,8.56007,2.00085e+09
OpenMP,matrix,2000,6,1,3,8.38214,2.00085e+09
OpenMP,matrix,2000,6,1,4,8.55799,2.00085e+09
OpenMP,matrix,2000,6,1,5,8.44402,2.00085e+09
OpenMP,matrix,2000,12,1,1,8.58333,2.00085e+09
OpenMP,matrix,2000,12,1,2,8.79493,2.00085e+09
OpenMP,matrix,2000,12,1,3,9.06874,2.00085e+09
OpenMP,matrix,2000,12,1,4,8.55322,2.00085e+09
OpenMP,matrix,2000,12,1,5,8.54285,2.00085e+09
