framework,n,threads,mean,std,count
OpenMP,500,1,0.11494820000000001,0.0026389130717020637,5
OpenMP,500,2,0.0579144,0.005058835554255545,5
OpenMP,500,4,0.02966234,0.0019850397157235933,5
OpenMP,500,6,0.0204105,0.0007097180390831272,5
OpenMP,500,12,0.01224086,0.0008201517682721902,5
OpenMP,1000,1,1.2795239999999999,0.1354998231733164,5
OpenMP,1000,2,0.7058452,0.046837358696877884,5
OpenMP,1000,4,0.41590040000000006,0.10474119226598483,5
OpenMP,1000,6,0.3818622,0.0581889755254378,5
OpenMP,1000,12,0.4489164,0.020601040672742696,5
OpenMP,2000,1,28.597379999999998,1.029720921900687,5
OpenMP,2000,2,16.2631,1.9802046611398534,5
OpenMP,2000,4,10.329104,0.65611714432714,5
OpenMP,2000,6,8.489282,0.07652843177538694,5
OpenMP,2000,12,8.708614,0.22608752028805126,5
sequential,500,1,0.1213746,0.0119971465690805,5
sequential,1000,1,1.2323119999999999,0.04927572394191683,5
sequential,2000,1,28.448079999999997,1.6308549175202558,5
